title,cost,new_used_or_certified,year,mileage,car_make,scrape_date
New 2023 BMW X4 M40i,"71,870",New,2023,0,BMW,2023-01-15
New 2022 Ford F350 Lariat,"71,740",New,2022,0,Ford,2023-01-15
New 2023 BMW X5 sDrive40i,"71,695",New,2023,0,BMW,2023-01-15
New 2023 Ford F150 4x4 SuperCrew,"70,675",New,2023,0,Ford,2023-01-15
Used 2018 Chevrolet Equinox LT,"12,000",Used,2018,0,Chevrolet,2023-01-15
New 2023 BMW X5 xDrive40i,"69,470",New,2023,0,BMW,2023-01-15
New 2023 BMW 540i,"67,380",New,2023,0,BMW,2023-01-15
New 2023 Audi Q5 e Premium Plus,"65,635",New,2023,0,Audi,2023-01-15
New 2023 Ford F250 4x4 Crew Cab Super Duty,"65,155",New,2023,0,Ford,2023-01-15
New 2023 Ford Mustang Mach-E Premium,"64,875",New,2023,0,Ford,2023-01-15
Used 2003 Nissan Xterra XE w/ Power Pkg,"7,888",Used,2003,"19,727 miles",Nissan,2023-06-15
Certified 2021 Cadillac CT5 Premium Luxury,"40,900",Certified,2021,0,Cadillac,2023-06-15
New 2023 Cadillac XT5 Luxury,"40,465",New,2023,0,Cadillac,2023-06-15
Used 2015 Lamborghini Aventador LP 700-4,"302,995",Used,2015,"11,991 miles",Lamborghini,2023-06-15
New 2023 Cadillac Escalade V,"212,185",New,2023,0,Cadillac,2023-06-15
New 2023 Audi RS Q8,"161,085",New,2023,0,Audi,2023-06-15
New 2023 Mercedes-Benz G 550,"154,300",New,2023,0,Mercedes-Benz,2023-06-15
Used 2021 Porsche 911 Carrera S,"143,949",Used,2021,240 miles,Porsche,2023-06-15
Used 2021 Volkswagen Tiguan S,"26,338",Used,2021,"1,806 miles",Volkswagen,2023-06-15
Used 2023 Porsche Cayenne GTS,"140,000",Used,2023,306 miles,Porsche,2023-06-15
Used 2019 Aston Martin DB11 Volante,"139,995",Used,2019,"9,060 miles",Aston,2023-06-15
Used 2019 Aston Martin DB11 Volante,"139,995",Used,2019,"9,060 miles",Martin,2023-06-15
New 2024 BMW X6 M Competition,"139,095",New,2024,0,BMW,2023-06-15
New 2023 Mercedes-Benz EQS 580 4MATIC Sedan,"137,830",New,2023,0,Mercedes-Benz,2023-06-15
Used 2023 Land Rover Range Rover Sport SE Dynamic,"129,900",Used,2023,0,Land Rover,2023-06-15
Used 2023 Land Rover Range Rover Sport SE Dynamic,"129,900",Used,2023,0,Rover,2023-06-15
Used 2023 Land Rover Range Rover Sport SE Dynamic,"129,900",Used,2023,0,Dynamic,2023-06-15
New 2023 Ford F150 Lariat,"121,995",New,2023,0,Ford,2023-06-15
Used 2023 Cadillac Escalade Sport,"119,991",Used,2023,0,Cadillac,2023-06-15
New 2023 Cadillac Escalade Sport,"119,760",New,2023,0,Cadillac,2023-06-15
New 2023 Ford Bronco Raptor,"119,235",New,2023,0,Ford,2023-06-15
New 2023 Cadillac Escalade Sport,"118,360",New,2023,0,Cadillac,2023-06-15
New 2023 Maserati Levante Modena,"116,446",New,2023,0,Maserati,2023-06-15
New 2023 GMC Yukon XL Denali,"112,535",New,2023,0,GMC,2023-06-15
New 2023 GMC Yukon XL Denali,"111,935",New,2023,0,GMC,2023-06-15
New 2023 Lincoln Navigator Black Label,"110,930",New,2023,0,Lincoln,2023-06-15
Used 2023 GMC Yukon XL Denali Ultimate,"109,981",Used,2023,0,GMC,2023-06-15
Used 2022 Cadillac CT5 V Blackwing,"109,888",Used,2022,0,Cadillac,2023-06-15
New 2024 GMC Sierra 2500 Denali,"108,485",New,2024,0,GMC,2023-06-15
Used 2023 RAM 1500 TRX,"106,991",Used,2023,0,,2023-06-15
New 2024 GMC Sierra 2500 AT4,"105,985",New,2024,0,GMC,2023-06-15
New 2023 Lincoln Navigator Reserve,"104,265",New,2023,0,Lincoln,2023-06-15
